source_id,ra,dec,phot_g_mean_mag,parallax
139149209450248832,47.50149963213811,36.64096694305488,8.317497,3.1248858531268353
139311421774656512,48.64717952237322,37.595915317891254,9.982895,4.468820110389699
141755640419904768,42.18430023995958,37.74766224639447,9.6969595,4.410149087253467
142223826214183680,43.91231904458508,37.12027975775573,9.029621,9.355010427657792
142252928912526848,44.37714451717587,37.30594276025627,9.456482,3.141601846215954
142332574786688128,45.689497527544106,37.93284167804826,9.089522,2.695000102147837
142344424599460608,45.08434985380951,37.94083437634267,9.399221,4.097788023211908
142441387781473664,46.50965204836917,37.591665670927114,7.78608,4.172619242914649
142717159042638080,45.92430842041977,38.16376374499258,9.331582,4.905400753629361
142724859919560832,45.883133633400504,38.40996789749684,7.1322784,3.6400205823511955
142761757981758464,45.82363365309103,38.56910643818381,9.721649,1.5967041482947089
142826633464933120,45.777920679662444,38.98382276131913,9.35122,0.6530457366543169
143246234590283392,44.48225346666516,39.02688862957113,9.710434,1.7643010483252242
143403533471403904,42.907819372531044,39.15056155945321,8.33644,0.8125746332050312
143449472442333440,44.09109223872566,39.22794377612031,9.589584,0.4151509584769034
143610688334521344,45.070041593957,39.45339782445116,9.721208,2.8329470668686074
143884535449504512,44.837370665616085,40.28880579467818,9.042214,9.814112503720194
144057124415073024,44.88622963380997,41.01414684929033,9.933343,0.5679262878061881
196671160986289408,89.49465952043694,45.109599658375984,7.508295,2.1689644840060853
196697308746925184,89.15389343390996,45.104417301329825,9.955297,0.5673710575800598
196848525955730944,87.52680590347543,45.09242615064597,8.154362,3.1710712115086417
196942976579031552,89.93328835617147,45.86318003187861,9.912172,1.9093901222611407
197592860967445120,86.69482979634256,46.41672901620404,8.4505,1.5760372174215445
197838464377260416,88.8647803227407,46.741663506961395,9.164045,0.5436687542016592
197869353782148992,89.66103447243182,47.042675866884544,9.93064,3.442809989423464
197986005093724672,87.9509227445892,46.78301937558253,9.298812,7.5405760552878975
198029431506239360,89.20120978305152,46.97617376792287,9.119439,7.213116664583135
198090664857343872,88.70858768241293,47.130820885617034,8.311953,2.2683261907078016
198098670676290048,88.97466507335706,47.31158887954728,9.376738,0.44109329307956313
198140830074890752,89.25143936015715,47.57706209586076,9.9879465,1.766651903257909
205646062089225600,77.14852334134149,44.708399653515215,9.956843,0.5699635219977397
